Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Tue Jun 18 16:41:45 2019,1,correct,5000,50,500,50,0.2,"[200, 200]",0.0607,0.8989,0.3254,0.2326,0.2944,14.7176,5.5871,56
Tue Jun 18 16:51:21 2019,1,correct,5000,50,500,50,0.2,"[200, 200]",0.0509,0.8338,0.3011,0.2105,0.2676,13.3801,5.1697,56
Tue Jun 18 16:56:35 2019,4,"mre, correct",4000,50,500,50,0.2,"[200, 200]",0.0117,1.2939,0.1154,0.0916,-0.0576,1.2363,-1.5306,60
Tue Jun 18 17:07:09 2019,7,correct,2000,25,250,50,0.1,"[50, 50, 150]",0.0314,0.7646,0.1753,0.15,-0.1754,0.3002,-4.4795,60
Tue Jun 18 17:08:41 2019,7,correct,2000,25,250,50,0.1,"[50, 50, 150]",0.0339,0.7359,0.1802,0.1547,-0.1809,0.3531,-4.4658,60
Tue Jun 18 17:09:28 2019,4,correct,2000,25,250,50,0.5,"[50, 50, 150]",0.0351,0.7536,0.1853,0.1584,-0.189,0.2022,-4.9757,56
Tue Jun 18 17:10:27 2019,0,correct,2000,25,250,50,0.1,"[400, 400, 150]",0.024,0.8834,0.1589,0.1338,-0.1546,0.23199999999999998,-4.0922,56
Tue Jun 18 17:11:30 2019,0,correct,2000,25,250,50,0.5,"[400, 400, 150]",0.0377,0.9755,0.2419,0.1813,0.1851,9.4358,2.5314,56
Tue Jun 18 17:12:11 2019,0,"mae, maxae, ae, correct",2000,25,1000,50,0.1,"[50, 50, 150]",0.5037,4.2553,0.9089,0.6768,-0.9546,-0.9334,-24.2177,56
Tue Jun 18 17:12:56 2019,0,"mae, maxae, ae, correct",2000,25,1000,50,0.5,"[50, 50, 150]",0.5382,0.7331,0.9482,0.7027,-0.991,-0.9127,-24.8585,43
Tue Jun 18 17:13:51 2019,5,correct,2000,25,1000,50,0.1,"[400, 400, 150]",0.0709,1.3551,0.3119,0.2542,0.2548,12.7393,3.0628,56
Tue Jun 18 17:14:48 2019,3,correct,2000,25,1000,50,0.5,"[400, 400, 150]",0.0209,0.8704,0.1698,0.1327,0.0867,5.1789,0.3984,56
Tue Jun 18 17:16:41 2019,4,"mse, correct",2000,100,250,50,0.1,"[50, 50, 150]",0.0198,1.3069,0.19399999999999998,0.1265,0.0859,6.2504,1.8964,60
Tue Jun 18 17:18:34 2019,3,"mse, rmse, correct",2000,100,250,50,0.5,"[50, 50, 150]",0.017,1.243,0.172,0.1161,0.0599,5.2002,1.2268,60
Tue Jun 18 17:21:24 2019,4,"mse, rmse, correct",2000,100,250,50,0.1,"[400, 400, 150]",0.0091,1.0017,0.1156,0.0851,0.0177,2.8629,0.1571,60
Tue Jun 18 17:24:16 2019,2,"mse, mre, rmse, correct",2000,100,250,50,0.5,"[400, 400, 150]",0.0093,1.1009,0.1148,0.0847,0.0212,2.9553,0.3415,56
Tue Jun 18 17:26:05 2019,0,"mae, maxae, ae, correct",2000,100,1000,50,0.1,"[50, 50, 150]",0.4898,1.7322,0.8938,0.6667,-0.9401,-0.8923,-23.7344,43
Tue Jun 18 17:27:58 2019,0,"mae, maxae, ae, correct",2000,100,1000,50,0.5,"[50, 50, 150]",0.6726,2.7095,1.0785,0.7911,-1.1167,-1.0879,-28.447,56
Wed Jun 19 09:31:22 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.1,[50],0.5601,0.6554,0.9739,0.7188,-1.0156,-1.0888,-5.6166,62
Wed Jun 19 09:32:40 2019,4,correct,5000,25,250,10,0.2,[50],0.0239,1.2356,0.1601,0.133,-0.18,-0.1451,-0.9328,40
Wed Jun 19 09:33:59 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.5,[50],0.4265,0.6048,0.83,0.6205,-0.8766,-0.8641,-4.7627,37
Wed Jun 19 09:35:31 2019,1,correct,5000,25,250,10,0.1,"[50, 150]",0.0534,0.8121,0.2678,0.2101,-0.2942,-0.3241,-1.648,62
Wed Jun 19 09:37:09 2019,1,correct,5000,25,250,10,0.2,"[50, 150]",0.0174,0.7485,0.1375,0.1139,-0.1432,-0.1642,-0.8798,62
Wed Jun 19 09:39:03 2019,1,correct,5000,25,250,10,0.5,"[50, 150]",0.0291,1.3702,0.1927,0.1528,-0.2119,-0.2202,-1.165,57
Wed Jun 19 09:40:46 2019,1,"lincor, correct",5000,25,250,10,0.1,"[50, 50, 150]",0.0631,0.7027,0.2725,0.2211,-0.3088,-0.3533,-1.7547,62
Wed Jun 19 09:42:27 2019,1,correct,5000,25,250,10,0.2,"[50, 50, 150]",0.0776,0.7186,0.3231,0.2538,-0.3555,-0.414,-2.0340000000000003,62
Wed Jun 19 09:44:10 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.5,"[50, 50, 150]",0.2612,0.9322,0.6411,0.4827,-0.6817,-0.703,-3.7684,62
Wed Jun 19 09:45:53 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.1,"[50, 50, 50, 150]",0.4147,1.229,0.8346,0.6174,-0.8724,-0.8861,-4.8043,62
Wed Jun 19 09:47:38 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.2,"[50, 50, 50, 150]",0.3806,1.943,0.7744,0.5826,-0.8233,-0.8303,-4.5301,62
Wed Jun 19 09:49:24 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.5,"[50, 50, 50, 150]",0.1686,0.7714,0.4959,0.3812,-0.5366,-0.6031,-3.0535,62
Wed Jun 19 09:50:47 2019,5,correct,5000,25,250,10,0.1,[200],0.0038,1.5628,0.0723,0.0546,-0.040999999999999995,0.0651,-0.2537,61
Wed Jun 19 09:52:09 2019,1,correct,5000,25,250,10,0.2,[200],0.0124,0.9431,0.1188,0.0967,-0.1212,-0.1035,-0.6942,62
Wed Jun 19 09:53:30 2019,1,correct,5000,25,250,10,0.5,[200],0.0077,0.7582,0.1023,0.0795,-0.0895,-0.0952,-0.5787,62
Wed Jun 19 09:55:05 2019,0,"lincor, correct",5000,25,250,10,0.1,"[200, 150]",0.0103,0.7487,0.1039,0.0854,-0.0827,0.0243,-0.506,62
Wed Jun 19 09:56:39 2019,0,"maxae, correct",5000,25,250,10,0.2,"[200, 150]",0.0374,1.1267,0.225,0.1762,-0.2459,-0.2628,-1.3593,60
Wed Jun 19 09:58:15 2019,0,"lincor, correct",5000,25,250,10,0.5,"[200, 150]",0.0104,0.7154,0.1066,0.0877,-0.0976,-0.0581,-0.6034,62
Wed Jun 19 10:00:10 2019,0,"mse, mre, rmse, correct",5000,25,250,10,0.1,"[200, 200, 150]",0.0084,0.8881,0.0992,0.0822,-0.0757,-0.0567,-0.5557,62
Wed Jun 19 10:02:05 2019,0,correct,5000,25,250,10,0.2,"[200, 200, 150]",0.0065,1.0351,0.0908,0.0742,-0.0256,0.1113,-0.3211,62
Wed Jun 19 10:04:09 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.5,"[200, 200, 150]",0.0337,0.7234,0.2031,0.1636,-0.2246,-0.2808,-1.3141,62
Wed Jun 19 10:06:22 2019,0,"lincor, mae, maxae, ae, correct",5000,25,250,10,0.1,"[200, 200, 200, 150]",0.0898,0.7179,0.3523,0.2747,-0.3856,-0.4434,-2.1971,62
Wed Jun 19 10:08:35 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.2,"[200, 200, 200, 150]",0.0455,0.8685,0.2326,0.1897,-0.2592,-0.3452,-1.5599,62
Wed Jun 19 10:10:43 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.5,"[200, 200, 200, 150]",0.0759,0.7672,0.3136,0.2491,-0.3479,-0.4172,-2.0142,62
Wed Jun 19 10:12:17 2019,0,"lincor, correct",5000,25,250,10,0.1,[400],0.0045,0.8653,0.0772,0.0595,0.0168,0.327,-0.04,62
Wed Jun 19 10:13:48 2019,0,correct,5000,25,250,10,0.2,[400],0.0136,1.1397,0.1202,0.0998,0.1057,1.0832,0.3743,62
Wed Jun 19 10:15:20 2019,0,correct,5000,25,250,10,0.5,[400],0.0046,0.8654,0.0765,0.0596,0.0212,0.3597,-0.0147,62
Wed Jun 19 10:17:03 2019,0,"lincor, mae, maxae, ae, correct",5000,25,250,10,0.1,"[400, 150]",0.0053,0.7218,0.0797,0.063,-0.0403,0.0984,-0.2851,62
Wed Jun 19 10:18:49 2019,0,"lincor, mae, maxae, ae, correct",5000,25,250,10,0.2,"[400, 150]",0.008,0.8019,0.1021,0.0799,-0.0951,-0.0826,-0.5654,62
Wed Jun 19 10:20:33 2019,0,"lincor, mae, maxae, ae, correct",5000,25,250,10,0.5,"[400, 150]",0.0059,0.727,0.0844,0.0675,-0.0631,0.0065,-0.4039,62
Wed Jun 19 10:22:49 2019,1,correct,5000,25,250,10,0.1,"[400, 400, 150]",0.0077,0.8849,0.0979,0.0776,-0.0879,-0.054000000000000006,-0.5188,60
Wed Jun 19 10:25:06 2019,3,correct,5000,25,250,10,0.2,"[400, 400, 150]",0.0043,1.0035,0.0743,0.0576,-0.0408,0.0803,-0.2554,62
Wed Jun 19 10:27:24 2019,1,correct,5000,25,250,10,0.5,"[400, 400, 150]",0.0117,1.0602,0.1209,0.0959,-0.1234,-0.1183,-0.6934,58
Wed Jun 19 10:30:05 2019,0,"lincor, mae, maxae, ae, correct",5000,25,250,10,0.1,"[400, 400, 400, 150]",0.0824,0.7041,0.3584,0.2706,-0.3803,-0.4279,-2.1425,62
Wed Jun 19 10:32:49 2019,0,"lincor, mae, maxae, ae, correct",5000,25,250,10,0.2,"[400, 400, 400, 150]",0.0704,0.7132,0.307,0.2413,-0.3384,-0.3817,-1.9103,62
Wed Jun 19 10:35:39 2019,0,"mae, maxae, ae, correct",5000,25,250,10,0.5,"[400, 400, 400, 150]",0.0804,0.7655,0.3379,0.2615,-0.3676,-0.4014,-2.052,62
Wed Jun 19 10:36:58 2019,8,"mse, mre, rmse, correct",5000,25,500,10,0.1,[50],0.055999999999999994,2.1188,0.2428,0.2016,-0.2809,-0.2678,-1.5255,47
Wed Jun 19 10:38:13 2019,9,"mse, mre, rmse, correct",5000,25,500,10,0.2,[50],0.028,1.4105,0.168,0.1412,-0.1904,-0.1661,-1.0225,45
Wed Jun 19 10:39:26 2019,0,"mae, maxae, ae, correct",5000,25,500,10,0.5,[50],0.604,1.1504,1.0086,0.7454,-1.0536,-1.0642,-5.7787,57
Wed Jun 19 10:40:55 2019,2,correct,5000,25,500,10,0.1,"[50, 150]",0.0508,0.759,0.2443,0.198,-0.2757,-0.3084,-1.5592,62
Wed Jun 19 10:42:20 2019,3,correct,5000,25,500,10,0.2,"[50, 150]",0.025,0.7279,0.1716,0.1394,-0.1879,-0.2364,-1.1149,62
Wed Jun 19 10:43:43 2019,2,correct,5000,25,500,10,0.5,"[50, 150]",0.0933,1.189,0.3545,0.2777,-0.391,-0.4057,-2.1571,62
Wed Jun 19 10:45:13 2019,1,correct,5000,25,500,10,0.1,"[50, 50, 150]",0.2839,1.3012,0.6702,0.5038,-0.7116,-0.7249,-3.9186,62
Wed Jun 19 10:46:46 2019,2,correct,5000,25,500,10,0.2,"[50, 50, 150]",0.1405,0.7186,0.4595,0.3502,-0.4937,-0.5326,-2.7573,62
Wed Jun 19 10:48:23 2019,2,correct,5000,25,500,10,0.5,"[50, 50, 150]",0.0433,0.7297,0.2113,0.1772,-0.2415,-0.2893,-1.4128,62
Wed Jun 19 10:50:06 2019,1,correct,5000,25,500,10,0.1,"[50, 50, 50, 150]",0.3222,0.8982,0.7249,0.5405,-0.7636,-0.7859999999999999,-4.2211,62
Wed Jun 19 10:51:49 2019,0,"mae, maxae, ae, correct",5000,25,500,10,0.2,"[50, 50, 50, 150]",0.5058,1.9045,0.9232,0.6822,-0.9642,-0.9716,-5.3045,62
Wed Jun 19 10:53:26 2019,1,correct,5000,25,500,10,0.5,"[50, 50, 50, 150]",0.2972,0.8164,0.6868,0.5159,-0.7286,-0.7543,-4.0374,62
Wed Jun 19 10:54:44 2019,2,"mse, mre, rmse, correct",5000,25,500,10,0.1,[200],0.0049,0.7334,0.0773,0.0616,-0.0375,0.0869,-0.2895,62
Wed Jun 19 10:56:00 2019,2,correct,5000,25,500,10,0.2,[200],0.0135,1.0107,0.115,0.0965,-0.1088,-0.029,-0.6233,62
Wed Jun 19 10:57:20 2019,5,correct,5000,25,500,10,0.5,[200],0.0039,1.0972,0.0726,0.0556,-0.0457,0.0518,-0.2745,62
Wed Jun 19 10:58:47 2019,1,"mse, mre, rmse, correct",5000,25,500,10,0.1,"[200, 150]",0.0051,0.7609,0.0799,0.0639,-0.0412,0.0684,-0.3225,62
Wed Jun 19 11:00:16 2019,1,correct,5000,25,500,10,0.2,"[200, 150]",0.0325,0.7405,0.2176,0.16699999999999998,-0.2319,-0.2728,-1.3218,62
Wed Jun 19 11:01:45 2019,1,correct,5000,25,500,10,0.5,"[200, 150]",0.0189,0.7743,0.1534,0.1222,-0.1649,-0.1927,-0.9466,62
Wed Jun 19 11:03:27 2019,1,"mse, mre, rmse, correct",5000,25,500,10,0.1,"[200, 200, 150]",0.0074,0.9431,0.0936,0.0771,-0.0449,0.0601,-0.4016,62
Wed Jun 19 11:05:09 2019,1,"mse, mre, rmse, correct",5000,25,500,10,0.2,"[200, 200, 150]",0.0061,0.8692,0.0869,0.0695,-0.0252,0.1452,-0.2729,62
Wed Jun 19 11:06:58 2019,1,"mse, mre, rmse, correct",5000,25,500,10,0.5,"[200, 200, 150]",0.0062,0.9307,0.0887,0.0723,-0.0473,0.0114,-0.4111,62
Wed Jun 19 11:09:02 2019,0,"lincor, mae, maxae, ae, correct",5000,25,500,10,0.1,"[200, 200, 200, 150]",0.266,0.7140000000000001,0.6629,0.4928,-0.6958,-0.7363,-3.8767,62
Wed Jun 19 11:11:07 2019,0,"lincor, mae, maxae, ae, correct",5000,25,500,10,0.2,"[200, 200, 200, 150]",0.1467,0.7453,0.4749,0.3602,-0.507,-0.5711,-2.8798,62
Wed Jun 19 11:13:08 2019,0,"lincor, mae, maxae, ae, correct",5000,25,500,10,0.5,"[200, 200, 200, 150]",0.2492,0.7202,0.6459999999999999,0.4784,-0.6755,-0.7149,-3.7593,62
Wed Jun 19 11:14:44 2019,1,correct,5000,25,500,10,0.1,[400],0.0107,1.02,0.1119,0.0893,0.0959,0.9824,0.3518,62
Wed Jun 19 11:16:19 2019,1,correct,5000,25,500,10,0.2,[400],0.0079,0.8705,0.0991,0.0764,0.081,0.8444,0.3123,62
Wed Jun 19 11:17:55 2019,1,correct,5000,25,500,10,0.5,[400],0.0074,0.7112,0.091,0.0742,-0.0678,0.027999999999999997,-0.4334,62
Wed Jun 19 11:19:40 2019,1,correct,5000,25,500,10,0.1,"[400, 150]",0.0095,1.0642,0.1066,0.0854,-0.104,-0.0767,-0.5894,62
Wed Jun 19 11:21:26 2019,1,correct,5000,25,500,10,0.2,"[400, 150]",0.0038,0.7347,0.0717,0.0549,-0.0141,0.1752,-0.1572,62
Wed Jun 19 11:23:13 2019,1,correct,5000,25,500,10,0.5,"[400, 150]",0.0065,0.8358,0.0872,0.0701,-0.068,0.0096,-0.4149,62
Wed Jun 19 11:25:30 2019,0,correct,5000,25,500,10,0.1,"[400, 400, 150]",0.0062,0.9079999999999999,0.0873,0.0718,-0.0438,0.0404,-0.3859,62
Wed Jun 19 11:27:43 2019,0,correct,5000,25,500,10,0.2,"[400, 400, 150]",0.0095,0.7942,0.1046,0.086,-0.0907,-0.0778,-0.6082,62
Wed Jun 19 11:29:55 2019,0,correct,5000,25,500,10,0.5,"[400, 400, 150]",0.0051,0.8904,0.0831,0.0643,0.005,0.2762,-0.1126,62
Wed Jun 19 11:32:34 2019,0,"mse, mre, rmse, correct",5000,25,500,10,0.1,"[400, 400, 400, 150]",0.0099,1.3616,0.1096,0.0935,-0.0469,-0.0004,-0.5206,62
Wed Jun 19 11:35:24 2019,0,"mse, rmse, correct",5000,25,500,10,0.2,"[400, 400, 400, 150]",0.0101,1.4291,0.1176,0.0936,0.0464,0.5495,-0.0232,62
Wed Jun 19 11:38:03 2019,0,correct,5000,25,500,10,0.5,"[400, 400, 400, 150]",0.0191,1.0169,0.1432,0.1214,-0.1427,-0.2039,-0.9608,62
Wed Jun 19 11:39:22 2019,1,correct,5000,25,1000,10,0.1,[50],0.4341,0.5693,0.8491,0.6301,-0.8901,-0.9016,-4.8416,37
Wed Jun 19 11:40:36 2019,0,"mae, maxae, ae, correct",5000,25,1000,10,0.2,[50],0.6859,0.8655,1.0856,0.7979,-1.1278,-1.1055,-6.2073,46
Wed Jun 19 11:41:59 2019,0,"mae, maxae, ae, correct",5000,25,1000,10,0.5,[50],0.6329,0.6476,1.0436,0.7668,-1.0837,-1.0564,-5.9086,37
Wed Jun 19 11:43:25 2019,4,correct,5000,25,1000,10,0.1,"[50, 150]",0.0583,0.8158,0.2692,0.2153,-0.3014,-0.3287,-1.6897,62
Wed Jun 19 12:42:49 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.1,[50],1.7125,1.129,1.0361,1.2682,-1.7861,-1.7748,-45.0221,69
Wed Jun 19 12:43:19 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.2,[50],1.5930000000000002,1.243,0.9921,1.2199,-1.7174,-1.6621,-43.2809,61
Wed Jun 19 12:53:27 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.5,[50],1.5930000000000002,1.2429999999999999,0.9921,1.2199,-1.7174,-1.6621,-43.2809,61
Wed Jun 19 13:01:36 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.5,[50],1.5930000000000002,1.243,0.9921,1.2199,-1.7174,-1.6621,-43.2809,61
Wed Jun 19 13:01:49 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.5,[50],1.5930000000000002,1.2429999999999999,0.9921,1.2199,-1.7174,-1.6621,-43.2809,61
Wed Jun 19 13:02:29 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.5,[50],1.5930000000000002,1.243,0.9921,1.2199,-1.7174,-1.6621,-43.2809,61
Wed Jun 19 13:03:12 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.5,[50],1.5930000000000002,1.2429999999999999,0.9921,1.2199,-1.7174,-1.6621,-43.2809,61
Wed Jun 19 13:05:39 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.5,[50],1.5930000000000002,1.243,0.9921,1.2199,-1.7174,-1.6621,-43.2809,61
Wed Jun 19 13:07:55 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.1,[50],1.3235,0.4012,0.8901,1.1072,-1.5526,-1.0753,-38.1554,30
Wed Jun 19 13:08:25 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.2,[50],1.6492,0.418,1.0127,1.2442,-1.7483,-1.2427,-43.42100000000001,30
Wed Jun 19 13:08:54 2019,0,"mae, maxae, ae, correct",3500,25,250,50,0.5,[50],1.7458,1.7634,1.0469,1.2808,-1.804,-1.6064,-45.6042,30
Wed Jun 19 13:09:29 2019,6,"mse, mre, rmse, correct",3500,25,250,50,0.1,"[50, 150]",0.1149,2.0106,0.2032,0.2893,-0.373,-0.2137,-8.8867,61
Wed Jun 19 13:10:04 2019,2,correct,3500,25,250,50,0.2,"[50, 150]",0.3387,0.632,0.3939,0.5319,-0.7282,-0.5043,-16.8423,38
Wed Jun 19 13:10:39 2019,0,"lincor, mae, maxae, ae, correct",3500,25,250,50,0.5,"[50, 150]",1.1293,0.3986,0.8133,1.0188,-1.4266,-1.1016,-34.6077,30
Wed Jun 19 13:11:17 2019,1,correct,3500,25,250,50,0.1,"[50, 50, 150]",0.293,1.0995,0.3575,0.485,-0.6697,-0.738,-17.2171,69
Wed Jun 19 13:11:56 2019,2,"mse, mre, rmse, correct",3500,25,250,50,0.2,"[50, 50, 150]",0.2064,0.9026,0.2828,0.3965,-0.5369,-0.6828,-14.3215,69
Wed Jun 19 13:12:34 2019,1,correct,3500,25,250,50,0.5,"[50, 50, 150]",0.4031,1.0922,0.4448,0.5847,-0.8129,-0.7877,-20.157,69
Wed Jun 19 13:13:39 2019,2,"mse, mre, rmse, correct",3500,25,250,50,0.1,"[50, 50, 50, 150]",0.3118,0.7644,0.3612,0.5004,-0.6755,-1.0183,-19.0573,69
Wed Jun 19 13:14:22 2019,7,correct,3500,25,250,50,0.2,"[50, 50, 50, 150]",0.2586,0.8843,0.3515,0.4654,-0.6395,-0.6939,-15.789000000000001,76
Wed Jun 19 13:15:04 2019,1,correct,3500,25,250,50,0.5,"[50, 50, 50, 150]",0.6784,1.0936,0.6075,0.7757,-1.0865,-1.0663,-27.1768,69
Wed Jun 19 13:15:37 2019,6,correct,3500,25,250,50,0.1,[200],0.0794,2.2753,0.1775,0.2429,-0.2634,0.8321,-6.0483,61
Wed Jun 19 13:16:08 2019,1,correct,3500,25,250,50,0.2,[200],0.125,1.2659,0.2014,0.2938,-0.3803,-0.3823,-10.1512,69
Wed Jun 19 13:16:40 2019,0,"lincor, mae, maxae, ae, correct",3500,25,250,50,0.5,[200],1.4935,0.37799999999999995,0.9583,1.1831,-1.6578,-1.1591,-40.2091,30
Wed Jun 19 13:17:19 2019,2,correct,3500,25,250,50,0.1,"[200, 150]",0.271,0.8370000000000001,0.3552,0.4754,-0.6485,-0.4312,-15.0584,38
Wed Jun 19 13:17:57 2019,5,"mse, mre, rmse, correct",3500,25,250,50,0.2,"[200, 150]",0.0633,2.8347,0.163,0.222,-0.1972,1.5659,-4.7726,53
Wed Jun 19 13:18:34 2019,1,correct,3500,25,250,50,0.5,"[200, 150]",0.1611,1.7803,0.2494,0.3491,-0.4688,-0.3683,-11.4618,69
Wed Jun 19 13:19:21 2019,0,correct,3500,25,250,50,0.1,"[200, 200, 150]",0.2478,1.2495,0.3287,0.4456,-0.6126,-0.6345,-15.6225,76
Wed Jun 19 13:20:07 2019,2,correct,3500,25,250,50,0.2,"[200, 200, 150]",0.1441,1.0979,0.2349,0.3307,-0.4379,-0.3664,-10.3175,53
Wed Jun 19 13:20:53 2019,2,correct,3500,25,250,50,0.5,"[200, 200, 150]",0.1297,1.2754,0.217,0.307,-0.4035,-0.3901,-10.0676,61
Wed Jun 19 13:21:45 2019,0,"mse, mre, rmse, correct",3500,25,250,50,0.1,"[200, 200, 200, 150]",0.1492,0.8399,0.244,0.3387,-0.4465,-0.6423,-12.0383,69
Wed Jun 19 13:22:38 2019,0,correct,3500,25,250,50,0.2,"[200, 200, 200, 150]",0.3299,0.9537,0.4104,0.5328,-0.7378,-0.7753,-18.3119,76
Wed Jun 19 13:23:30 2019,0,correct,3500,25,250,50,0.5,"[200, 200, 200, 150]",0.3293,0.9028,0.4186,0.5364,-0.7423,-0.7915,-18.4114,76
Wed Jun 19 13:24:07 2019,4,correct,3500,25,250,50,0.1,[400],0.0934,1.1456,0.2001,0.2692,0.1122,10.8786,1.2426,69
Wed Jun 19 13:24:48 2019,2,"mse, mre, rmse, correct",3500,25,250,50,0.2,[400],0.0594,1.3951,0.1544,0.2126,-0.1634,2.0825,-4.3044,69
Wed Jun 19 13:25:25 2019,4,"mse, mre, rmse, correct",3500,25,250,50,0.5,[400],0.0578,2.6164,0.1579,0.2177,-0.1323,3.1666,-2.6961,38
Wed Jun 19 13:26:09 2019,0,correct,3500,25,250,50,0.1,"[400, 150]",0.1604,1.8292,0.2448,0.34600000000000003,-0.4644,-0.3987,-11.6081,69
Wed Jun 19 13:26:53 2019,0,correct,3500,25,250,50,0.2,"[400, 150]",0.0603,0.8072,0.1596,0.2271,-0.0875,3.7216,-4.2328,69
Wed Jun 19 13:27:37 2019,0,"mse, mre, rmse, correct",3500,25,250,50,0.5,"[400, 150]",0.0724,0.807,0.1874,0.2419,0.1633,10.3694,1.7073,69
Wed Jun 19 13:28:38 2019,1,"mse, mre, rmse, correct",3500,25,250,50,0.1,"[400, 400, 150]",0.0853,1.3915,0.1647,0.2391,-0.2826,0.0671,-6.7520000000000024,76
Wed Jun 19 13:29:38 2019,0,"mse, mre, rmse, correct",3500,25,250,50,0.2,"[400, 400, 150]",0.0583,0.9702,0.1536,0.2169,-0.111,3.2544,-4.1535,69
Wed Jun 19 13:30:51 2019,1,"mse, mre, rmse, correct",3500,25,250,50,0.5,"[400, 400, 150]",0.0774,1.3817,0.1522,0.2247,-0.2527,0.3288,-6.0504,69
Wed Jun 19 13:32:08 2019,2,"mse, mre, rmse, correct",3500,25,250,50,0.1,"[400, 400, 400, 150]",0.0907,1.0935,0.1733,0.2494,-0.3042,-0.1874,-7.5205,61
Wed Jun 19 13:33:24 2019,2,"mse, mre, rmse, correct",3500,25,250,50,0.2,"[400, 400, 400, 150]",0.0698,1.06,0.1491,0.2161,-0.2303,0.46,-5.9844,76
Wed Jun 19 13:34:41 2019,1,correct,3500,25,250,50,0.5,"[400, 400, 400, 150]",0.2281,0.606,0.3209,0.4342,-0.5871,-0.4757,-13.4736,38
Wed Jun 19 13:35:07 2019,0,"mae, maxae, ae, correct",3500,25,1000,50,0.1,[50],1.422,3.5216,0.9263,1.147,-1.6144,-1.4973,-40.9499,30
Wed Jun 19 13:35:31 2019,0,"lincor, mae, maxae, ae, correct",3500,25,1000,50,0.2,[50],1.5197,1.1644,0.9638,1.1884,-1.6734,-1.7671,-42.8112,69
Wed Jun 19 13:35:55 2019,0,"mae, maxae, ae, correct",3500,25,1000,50,0.5,[50],1.72,1.7235,1.0356,1.2696,-1.788,-1.6073,-45.385,30
Wed Jun 19 13:36:23 2019,0,"mae, maxae, ae, correct",3500,25,1000,50,0.1,"[50, 150]",1.5792,1.1081,0.9891,1.2153,-1.7108,-1.5267,-42.9725,30
Wed Jun 19 13:36:51 2019,0,"mae, maxae, ae, correct",3500,25,1000,50,0.2,"[50, 150]",1.4836,3.5846,0.9521,1.1745,-1.6535,-1.5536,-41.7868,30
Wed Jun 19 13:37:20 2019,0,"mae, maxae, ae, correct",3500,25,1000,50,0.5,"[50, 150]",1.6339,5.8795,1.0064,1.2358,-1.7406,-1.6317,-44.2006,61
Wed Jun 19 13:37:51 2019,0,"mae, maxae, ae, correct",3500,25,1000,50,0.1,"[50, 50, 150]",1.4647,9.2002,0.9440000000000001,1.166,-1.6414,-1.5324,-41.5597,30
Wed Jun 19 14:36:56 2019,9,"mse, mre, rmse, correct",3500,25,1000,50,0.2,"[50, 50, 150]",0.5634,1.3566,0.5505,0.7048,-0.9854,-0.9611,-24.6996,61
Wed Jun 19 14:37:30 2019,0,"mae, maxae, ae, correct",3500,25,1000,50,0.5,"[50, 50, 150]",1.5490000000000002,4.3174,0.9744,1.2007,-1.6907,-1.5981,-42.9933,69
Wed Jun 19 14:38:07 2019,9,"mse, mre, rmse, correct",3500,25,1000,50,0.1,"[50, 50, 50, 150]",0.4324,1.0059,0.459,0.604,-0.8414,-0.9031,-21.269,69
Wed Jun 19 14:38:41 2019,9,"mse, mre, rmse, correct",3500,25,1000,50,0.2,"[50, 50, 50, 150]",0.5158,0.9673,0.5179,0.6698,-0.9352,-0.9594,-23.3948,76
Wed Jun 19 14:39:13 2019,8,correct,3500,25,1000,50,0.5,"[50, 50, 50, 150]",0.4272,0.9345,0.4639,0.6046,-0.8422,-0.9449,-21.4914,69
Wed Jun 19 14:39:40 2019,9,"mse, mre, rmse, correct",3500,25,1000,50,0.1,[200],0.1164,2.0817,0.2032,0.28800000000000003,-0.3723,-0.2813,-9.2602,69
Wed Jun 19 14:40:07 2019,9,"mse, mre, rmse, correct",3500,25,1000,50,0.2,[200],0.1914,1.3254,0.2798,0.387,-0.5235,-0.3773,-12.4685,38
Wed Jun 19 14:40:35 2019,9,"mse, mre, rmse, correct",3500,25,1000,50,0.5,[200],0.0636,1.4628,0.1528,0.21600000000000005,-0.1872,1.2494,-5.8591,69
