Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Fri Jun 21 10:24:50 2019,3,"mse, mre, rmse, correct",5000,25,500,50,0.2,"[50, 50, 50, 150]",0.0363,0.7459,0.1984,0.17,-0.1943,-0.1682,-6.1145,56
Fri Jun 21 10:25:48 2019,3,"mse, mre, rmse, correct",5000,25,500,50,0.4,"[50, 50, 50, 150]",0.0475,0.8206,0.2237,0.1939,-0.2229,-0.301,-7.1531,56
Fri Jun 21 10:26:32 2019,9,"mse, correct",5000,25,500,50,0.1,[200],0.0118,2.1630000000000003,0.1249,0.0983,-0.0713,1.143,-1.7411,60
Fri Jun 21 10:27:16 2019,2,"mse, mre, rmse, correct",5000,25,500,50,0.2,[200],0.0176,0.9016,0.1367,0.1117,-0.0871,1.106,-2.6645,60
Fri Jun 21 10:27:59 2019,3,correct,5000,25,500,50,0.4,[200],0.021,1.0126,0.1459,0.1224,-0.1177,0.7832,-3.3109,56
Fri Jun 21 10:29:14 2019,6,correct,5000,25,500,50,0.1,"[200, 200, 200, 150]",0.0342,0.8467,0.1963,0.1629,-0.2124,-0.2217,-5.1825,60
Fri Jun 21 10:30:26 2019,4,correct,5000,25,500,50,0.2,"[200, 200, 200, 150]",0.0257,0.9039,0.1687,0.1408,-0.1725,0.0039,-4.4162,56
Fri Jun 21 10:31:36 2019,1,"mse, mre, rmse, correct",5000,25,500,50,0.4,"[200, 200, 200, 150]",0.0181,0.8831,0.1599,0.1253,0.0161,2.8092,-1.3714,56
Fri Jun 21 10:32:34 2019,1,correct,5000,25,500,50,0.1,[400],0.2227,1.8794,0.5226,0.4463,0.5205,26.0258,8.2537,56
Fri Jun 21 10:33:31 2019,5,correct,5000,25,500,50,0.2,[400],0.0115,2.4472,0.1187,0.0952,-0.0688,1.081,-1.6436,60
Fri Jun 21 10:34:27 2019,1,correct,5000,25,500,50,0.4,[400],0.0948,1.2902,0.3685,0.2933,0.3417,17.0833,5.4818,56
Fri Jun 21 10:36:18 2019,8,correct,5000,25,500,50,0.1,"[400, 400, 400, 150]",0.0181,0.9652,0.1398,0.1167,-0.1239,0.4401,-3.0225,60
Fri Jun 21 10:38:10 2019,9,correct,5000,25,500,50,0.2,"[400, 400, 400, 150]",0.0128,0.9895,0.121,0.0978,-0.0797,0.8207,-1.9624,60
Fri Jun 21 10:39:58 2019,0,correct,5000,25,500,50,0.4,"[400, 400, 400, 150]",0.04,1.0468,0.2567,0.1886,0.1805,9.2777,2.2033,56
Fri Jun 21 10:40:37 2019,0,"lincor, mae, maxae, ae, correct",5000,25,1000,50,0.1,[50],0.5033,0.4472,0.9119,0.6789,-0.9548,-0.7556,-23.3657,43
Fri Jun 21 10:41:14 2019,0,"mae, maxae, ae, correct",5000,25,1000,50,0.2,[50],0.5431,0.8295,0.9496,0.7047,-0.9939,-1.0992,-25.3891,56
